Run name,Average_Reward,Step
500_model_deep_value_autoeval_91,16.54356575012207,8708096
500_model_deep_value_autoeval_91,17.600154876708984,8757248
500_model_deep_value_autoeval_91,19.99095344543457,8806400
500_model_deep_value_autoeval_91,15.715287208557127,8855552
500_model_deep_value_autoeval_91,16.246070861816403,8904704
500_model_deep_value_autoeval_91,17.838855743408203,8953856
500_model_deep_value_autoeval_91,18.893733978271484,9003008
500_model_deep_value_autoeval_91,15.695497512817385,9052160
500_model_deep_value_autoeval_91,20.47157287597656,9101312
500_model_deep_value_autoeval_91,18.596899032592773,9158656
500_model_deep_value_autoeval_91,22.297212600708008,9207808
500_model_deep_value_autoeval_91,19.09186172485352,9256960
500_model_deep_value_autoeval_91,19.875263214111328,9306112
500_model_deep_value_autoeval_91,16.15957260131836,9355264
500_model_deep_value_autoeval_91,17.213659286499027,9404416
500_model_deep_value_autoeval_91,14.828660011291506,9453568
500_model_deep_value_autoeval_91,18.000638961791992,9502720
500_model_deep_value_autoeval_91,17.466850280761722,9551872
500_model_deep_value_autoeval_91,16.139144897460938,9601024
500_model_deep_value_autoeval_91,15.343887329101562,9658368
500_model_deep_value_autoeval_91,16.928688049316403,9707520
500_model_deep_value_autoeval_91,17.717653274536133,9756672
500_model_deep_value_autoeval_91,17.180469512939453,9805824
500_model_deep_value_autoeval_91,17.17582130432129,9854976
500_model_deep_value_autoeval_91,16.11754035949707,9904128
500_model_deep_value_autoeval_91,17.696744918823242,9953280
500_model_deep_value_autoeval_91,17.95474624633789,10002432
