Running script
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 3653632	Mean reward: 22.0
Step: 3670016	Mean reward: 22.09375
Step: 3686400	Mean reward: 20.96875
Step: 3702784	Mean reward: 21.1875
Step: 3719168	Mean reward: 21.453125
Step: 3735552	Mean reward: 22.109375
Step: 3751936	Mean reward: 21.46875
Step: 3768320	Mean reward: 22.25
Step: 3784704	Mean reward: 22.046875
Step: 3801088	Mean reward: 20.703125
Step: 3817472	Mean reward: 21.296875
Step: 3833856	Mean reward: 22.3125
Step: 3850240	Mean reward: 22.0625
Step: 3866624	Mean reward: 21.6875
Step: 3883008	Mean reward: 22.296875
Step: 3899392	Mean reward: 21.1875
Step: 3915776	Mean reward: 22.0625
Step: 3932160	Mean reward: 21.546875
Step: 3948544	Mean reward: 22.0
Step: 3964928	Mean reward: 20.625
Step: 3981312	Mean reward: 23.546875
Step: 3997696	Mean reward: 22.3125
Step: 4014080	Mean reward: 21.96875
Step: 4030464	Mean reward: 21.90625
Step: 4046848	Mean reward: 20.8125
Step: 4063232	Mean reward: 22.265625
Step: 4079616	Mean reward: 22.8125
Step: 4096000	Mean reward: 22.34375
Step: 4112384	Mean reward: 22.65625
Step: 4128768	Mean reward: 22.390625
Step: 4145152	Mean reward: 22.28125
Step: 4161536	Mean reward: 21.875
Step: 4177920	Mean reward: 21.234375
Step: 4194304	Mean reward: 22.421875
Step: 4210688	Mean reward: 23.71875
Step: 4227072	Mean reward: 21.890625
Step: 4243456	Mean reward: 22.90625
Step: 4259840	Mean reward: 23.0625
Step: 4276224	Mean reward: 22.359375
Step: 4292608	Mean reward: 22.21875
Step: 4308992	Mean reward: 22.375
Step: 4325376	Mean reward: 22.859375
Step: 4341760	Mean reward: 21.8125
Step: 4358144	Mean reward: 23.25
Step: 4374528	Mean reward: 22.734375
Step: 4390912	Mean reward: 22.5625
Step: 4407296	Mean reward: 22.5625
Step: 4423680	Mean reward: 22.71875
Step: 4440064	Mean reward: 22.515625
Step: 4456448	Mean reward: 22.8125
Step: 4472832	Mean reward: 22.46875
Step: 4489216	Mean reward: 22.296875
Step: 4505600	Mean reward: 22.703125
Step: 4521984	Mean reward: 23.140625
Step: 4538368	Mean reward: 22.4375
Step: 4554752	Mean reward: 21.890625
Step: 4571136	Mean reward: 23.890625
Step: 4587520	Mean reward: 23.6875
Step: 4603904	Mean reward: 23.421875
Step: 4620288	Mean reward: 22.40625
Step: 4636672	Mean reward: 23.171875
Step: 4653056	Mean reward: 23.046875
Step: 4669440	Mean reward: 22.421875
Step: 4685824	Mean reward: 22.140625
Step: 4702208	Mean reward: 21.890625
Step: 4718592	Mean reward: 22.34375
Step: 4734976	Mean reward: 23.3125
Step: 4751360	Mean reward: 21.546875
Step: 4767744	Mean reward: 22.796875
Step: 4784128	Mean reward: 21.53125
Step: 4800512	Mean reward: 23.09375
Step: 4816896	Mean reward: 22.640625
Step: 4833280	Mean reward: 23.234375
Step: 4849664	Mean reward: 22.765625
Step: 4866048	Mean reward: 22.265625
Step: 4882432	Mean reward: 22.6875
Step: 4898816	Mean reward: 23.4375
Step: 4915200	Mean reward: 23.71875
Step: 4931584	Mean reward: 21.859375
Step: 4947968	Mean reward: 23.0
Step: 4964352	Mean reward: 21.46875
Step: 4980736	Mean reward: 23.515625
Step: 4997120	Mean reward: 23.171875
Step: 5013504	Mean reward: 22.234375
Step: 5029888	Mean reward: 23.34375
Step: 5046272	Mean reward: 23.0625
Step: 5062656	Mean reward: 22.875
Step: 5079040	Mean reward: 22.890625
Step: 5095424	Mean reward: 23.203125
Step: 5111808	Mean reward: 22.9375
Step: 5128192	Mean reward: 21.546875
Step: 5144576	Mean reward: 22.953125
Step: 5160960	Mean reward: 23.46875
Step: 5177344	Mean reward: 23.625
Step: 5193728	Mean reward: 22.890625
Step: 5210112	Mean reward: 23.3125
Step: 5226496	Mean reward: 22.09375
Step: 5242880	Mean reward: 23.796875
Step: 5259264	Mean reward: 22.765625
Step: 5275648	Mean reward: 21.75
Step: 5292032	Mean reward: 22.421875
Step: 5308416	Mean reward: 23.015625
Step: 5324800	Mean reward: 22.984375
Step: 5341184	Mean reward: 23.4375
Step: 5357568	Mean reward: 23.03125
Step: 5373952	Mean reward: 22.703125
Step: 5390336	Mean reward: 23.140625
Step: 5406720	Mean reward: 22.890625
Step: 5423104	Mean reward: 23.296875
Step: 5439488	Mean reward: 23.09375
Step: 5455872	Mean reward: 24.890625
Step: 5472256	Mean reward: 23.625
Step: 5488640	Mean reward: 23.046875
Step: 5505024	Mean reward: 23.828125
Step: 5521408	Mean reward: 22.296875
Step: 5537792	Mean reward: 23.671875
Step: 5554176	Mean reward: 23.234375
Step: 5570560	Mean reward: 22.375
Step: 5586944	Mean reward: 21.796875
Step: 5603328	Mean reward: 24.484375
Step: 5619712	Mean reward: 23.375
Step: 5636096	Mean reward: 23.640625
Step: 5652480	Mean reward: 24.703125
Step: 5668864	Mean reward: 22.609375
Step: 5685248	Mean reward: 23.765625
Step: 5701632	Mean reward: 24.09375
Step: 5718016	Mean reward: 24.328125
Step: 5734400	Mean reward: 24.71875
Step: 5750784	Mean reward: 23.640625
Step: 5767168	Mean reward: 23.75
Step: 5783552	Mean reward: 23.21875
Step: 5799936	Mean reward: 24.609375
Step: 5816320	Mean reward: 24.375
Step: 5832704	Mean reward: 24.921875
Step: 5849088	Mean reward: 23.953125
Step: 5865472	Mean reward: 23.921875
Step: 5881856	Mean reward: 24.578125
Step: 5898240	Mean reward: 23.75
Step: 5914624	Mean reward: 24.046875
Step: 5931008	Mean reward: 24.203125
Step: 5947392	Mean reward: 24.515625
Step: 5963776	Mean reward: 22.484375
Step: 5980160	Mean reward: 24.1875
Step: 5996544	Mean reward: 23.171875
Step: 6012928	Mean reward: 23.984375
Step: 6029312	Mean reward: 24.453125
Step: 6045696	Mean reward: 24.4375
Step: 6062080	Mean reward: 23.140625
Step: 6078464	Mean reward: 24.453125
Step: 6094848	Mean reward: 24.859375
Step: 6111232	Mean reward: 23.90625
Step: 6127616	Mean reward: 24.03125
Step: 6144000	Mean reward: 24.109375
Step: 6160384	Mean reward: 23.921875
Step: 6176768	Mean reward: 23.265625
Step: 6193152	Mean reward: 25.03125
Step: 6209536	Mean reward: 24.03125
Step: 6225920	Mean reward: 24.171875
Step: 6242304	Mean reward: 23.671875
Step: 6258688	Mean reward: 24.125
Step: 6275072	Mean reward: 24.484375
Step: 6291456	Mean reward: 25.03125
Step: 6307840	Mean reward: 23.84375
Step: 6324224	Mean reward: 24.265625
Step: 6340608	Mean reward: 23.421875
Step: 6356992	Mean reward: 24.546875
Step: 6373376	Mean reward: 23.765625
Step: 6389760	Mean reward: 24.4375
Step: 6406144	Mean reward: 23.375
Step: 6422528	Mean reward: 24.84375
Step: 6438912	Mean reward: 23.375
Step: 6455296	Mean reward: 24.71875
Step: 6471680	Mean reward: 24.296875
Step: 6488064	Mean reward: 24.96875
Step: 6504448	Mean reward: 23.375
Step: 6520832	Mean reward: 24.640625
Step: 6537216	Mean reward: 25.015625
Step: 6553600	Mean reward: 24.515625
Step: 6569984	Mean reward: 24.125
Step: 6586368	Mean reward: 24.25
Step: 6602752	Mean reward: 24.1875
Step: 6619136	Mean reward: 23.1875
Step: 6635520	Mean reward: 23.75
Step: 6651904	Mean reward: 23.921875
Step: 6668288	Mean reward: 23.96875
Step: 6684672	Mean reward: 23.828125
Step: 6701056	Mean reward: 25.015625
Step: 6717440	Mean reward: 24.234375
Step: 6733824	Mean reward: 24.171875
Step: 6750208	Mean reward: 24.953125
Step: 6766592	Mean reward: 24.171875
Step: 6782976	Mean reward: 23.5
Step: 6799360	Mean reward: 23.5625
Step: 6815744	Mean reward: 24.328125
Step: 6832128	Mean reward: 23.78125
Step: 6848512	Mean reward: 24.234375
Step: 6864896	Mean reward: 25.359375
Step: 6881280	Mean reward: 23.8125
Step: 6897664	Mean reward: 23.78125
Step: 6914048	Mean reward: 24.765625
Step: 6930432	Mean reward: 24.984375
Step: 6946816	Mean reward: 24.46875
Step: 6963200	Mean reward: 24.78125
Step: 6979584	Mean reward: 23.734375
Step: 6995968	Mean reward: 24.125
Step: 7012352	Mean reward: 24.328125
Step: 7028736	Mean reward: 25.421875
Step: 7045120	Mean reward: 24.03125
Step: 7061504	Mean reward: 24.859375
Step: 7077888	Mean reward: 25.234375
Step: 7094272	Mean reward: 23.6875
Step: 7110656	Mean reward: 24.359375
Step: 7127040	Mean reward: 24.328125
Step: 7143424	Mean reward: 24.421875
Step: 7159808	Mean reward: 23.84375
Step: 7176192	Mean reward: 25.921875
Step: 7192576	Mean reward: 24.515625
Step: 7208960	Mean reward: 23.84375
Step: 7225344	Mean reward: 24.9375
Step: 7241728	Mean reward: 24.1875
Step: 7258112	Mean reward: 23.53125
Step: 7274496	Mean reward: 24.1875
Step: 7290880	Mean reward: 25.09375
Step: 7307264	Mean reward: 24.75
Step: 7323648	Mean reward: 25.125
Step: 7340032	Mean reward: 24.109375
Step: 7356416	Mean reward: 25.65625
Step: 7372800	Mean reward: 25.40625
Step: 7389184	Mean reward: 26.203125
Step: 7405568	Mean reward: 24.484375
Step: 7421952	Mean reward: 24.015625
Step: 7438336	Mean reward: 24.625
Step: 7454720	Mean reward: 25.578125
Step: 7471104	Mean reward: 23.828125
Step: 7487488	Mean reward: 24.125
Step: 7503872	Mean reward: 25.359375
Step: 7520256	Mean reward: 23.75
Step: 7536640	Mean reward: 24.578125
Step: 7553024	Mean reward: 24.625
Step: 7569408	Mean reward: 25.375
Step: 7585792	Mean reward: 24.59375
Step: 7602176	Mean reward: 24.0625
Step: 7618560	Mean reward: 24.203125
Step: 7634944	Mean reward: 25.96875
Step: 7651328	Mean reward: 24.21875
Step: 7667712	Mean reward: 26.265625
Step: 7684096	Mean reward: 23.921875
Step: 7700480	Mean reward: 24.75
Step: 7716864	Mean reward: 23.8125
Step: 7733248	Mean reward: 25.3125
Step: 7749632	Mean reward: 24.0
Step: 7766016	Mean reward: 24.625
Step: 7782400	Mean reward: 25.484375
Step: 7798784	Mean reward: 24.75
Step: 7815168	Mean reward: 25.234375
Step: 7831552	Mean reward: 24.859375
Step: 7847936	Mean reward: 25.0
Step: 7864320	Mean reward: 24.875
Step: 7880704	Mean reward: 24.96875
Step: 7897088	Mean reward: 25.6875
Step: 7913472	Mean reward: 25.234375
Step: 7929856	Mean reward: 23.828125
Step: 7946240	Mean reward: 25.140625
Step: 7962624	Mean reward: 25.125
Step: 7979008	Mean reward: 25.421875
Step: 7995392	Mean reward: 25.0
Step: 8011776	Mean reward: 23.8125
Completed training!

------------------------------------------------------------
Sender: LSF System <lsfadmin@n-62-20-13>
Subject: Job 8415273: <myJob> in cluster <dcc> Done

Job <myJob> was submitted from host <gbarlogin2> by user <s192590> in cluster <dcc> at Mon Nov 23 14:14:39 2020
Job was executed on host(s) <n-62-20-13>, in queue <gpuv100>, as user <s192590> in cluster <dcc> at Mon Nov 23 14:20:04 2020
</zhome/2c/8/144452> was used as the home directory.
</zhome/2c/8/144452/DeepLearningProject> was used as the working directory.
Started at Mon Nov 23 14:20:04 2020
Terminated at Mon Nov 23 17:44:24 2020
Results reported at Mon Nov 23 17:44:24 2020

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#!/bin/sh
#BSUB -q gpuv100
#BSUB -gpu "num=1"
#BSUB -J myJob
#BSUB -n 1
#BSUB -W 10:00
#BSUB -R "rusage[mem=32GB]"
#BSUB -o %J.out
#BSUB -e %J.err

module load python3/3.8.0
module load cuda/8.0
module load cudnn/v7.0-prod-cuda8

unset PYTHONHOME
unset PYTHONPATH

export PATH="$HOME/.local/bin:$PATH"

cd ~/DeepLearning/DeepLearningProject

echo "Running script"
python3 training.py

------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   12206.66 sec.
    Max Memory :                                 15647 MB
    Average Memory :                             15431.22 MB
    Total Requested Memory :                     32768.00 MB
    Delta Memory :                               17121.00 MB
    Max Swap :                                   2 MB
    Max Processes :                              4
    Max Threads :                                13
    Run time :                                   12261 sec.
    Turnaround time :                            12585 sec.

The output (if any) is above this job summary.



PS:

Read file <8415273.err> for stderr output of this job.

